速単冬休み範囲【日⇒英】,,,
id,english,japanese,pos
1,familiar,によく知られている,adj
2,fond,《～が》大好きで,adj
3,unlikely,…しそうにない,adj
4,willing,…する気がある,adj
5,trivial,ささいな,adj
6,tiny,とても小さい,adj
7,uncommon,まれ，めったにない,adj
8,implicit,暗黙の,adj
9,temporary,一時的な,adj
10,reluctant,気が進まない,adj
11,outstanding,傑出した；目立った,adj
12,modest,謙虚な；控えめな,adj
13,humble,謙虚な；地位が低い,adj
14,primitive,原始的な；原始の,adj
15,current,現在の；流通している,adj
16,modern,現代の；近代の,adj
17,contemporary,現代の；同時代の,adj
18,interpersonal,個人間の,adj
19,ancient,古代の；昔からの,adj
20,fancy,高価な；奇抜な,adj
21,miserable,惨めな,adj
22,voluntary,自発的な；任意の,adj
23,damp,湿った，じめじめした,adj
24,intensive,集中的な；徹底的な,adj
25,minor,重要でない；少数の,adj
26,reliable,信頼できる,adj
27,intimate,親しい；詳しい,adj
28,ongoing,進行中の,adj
29,vivid,生き生きした；鮮明な,adj
30,spiritual,精神（上）の；霊的な,adj
31,close,接近した；親密な,adj
32,sophisticated,洗練された；精巧な,adj
33,magnificent,壮大な；素晴らしい,adj
34,imaginary,想像上の,adj
35,immediate,即座の；目下の,adj
36,prominent,卓越した；目立った,adj
37,Mediterranean,地中海の,adj
38,supernatural,超自然の,adj
39,interior,内部の；室内の,adj
40,inner,内部の；精神的な,adj
41,eager,熱心な；熱望して,adj
42,enormous,莫大な；巨大な,adj
43,desperate,必死の；絶望的な,adj
44,sensible,分別のある；賢明な,adj
45,authentic,本物の；信頼できる,adj
46,genuine,本物の；心からの,adj
47,fascinating,魅力的な,adj
48,resort,〈ある手段に〉訴える,v
49,embark,に着手する；乗船する,v
50,invest,《～に》投資する,v
51,resolve,解決する；決心する,v
52,breathe,呼吸する,v
53,resume,再開する,v
54,dominate,支配する,v
55,inherit,受け継ぐ；相続する,v
56,flee,逃げる,v
57,sigh,ため息をつく,v
58,soar,急上昇する,v
59,sail,航行する,v
60,navigate,航行する,v
61,contribute,貢献する；一因となる,v
62,depart,(から)出発する,v
63,dispose,処分する,v
64,evaporate,蒸発する,v
65,arise,生じる；起因する,v
66,commute,"通勤,通学する",v
67,escape,逃げる；を免れる,v
68,drift,漂う；移り変わる,v
69,float,浮く；漂う；流れる,v
70,rely,頼る,v
71,attribute,(結果)を(～に)帰する,v
72,grant,〈資格など〉を認める,v
73,remind,〈人〉に思い出させる,v
74,tempt,〈人〉を誘惑する,v
75,portray,〈人物など〉を描く,v
76,oblige,(法で)に強制する,v
77,combine,を組み合わせる,v
78,convert,《～に》を転換する,v
79,intend,…するつもりだ,v
80,compel,～に…することを強いる,v
81,entitle,に権利を与える,v
82,inhabit,に住む,v
83,oppose,に反対する,v
84,confront,に立ち向かう,v
85,unlock,の鍵を開ける,v
86,imply,を暗示する；を示す,v
87,accelerate,を加速する,v
88,solve,を解決する,v
89,supervise,を監督する,v
90,administer,を管理、運営する,v
91,reverse,を逆にする,v
92,inspect,を検査する,v
93,minimize,を最小限にする,v
94,prompt,を刺激する,v
95,recall,を思い出す,v
96,relieve,を安心させる,v
97,assemble,を集める；を組み立てる,v
98,weave,を織る,v
99,attain,を成し遂げる,v
100,refine,を洗練する；を精製する,v
101,dye,を染める,v
102,revive,を蘇生させる,v
103,arrest,を逮捕する,v
104,lay,を置く；〈卵〉を産む,v
105,exceed,を超える,v
106,enclose,を同封する；を囲む,v
107,obtain,を入手する；を得る,v
108,punish,を罰する,v
109,grind,を挽く,v
110,standardize,を標準[規格]化する,v
111,disclose,を暴く；を公表する,v
112,fascinate,を魅了する,v
113,reveal,を明らかにする,v
114,return,を戻す；戻る,v
115,export,を輸出する,v
116,transport,を輸送する,v
117,import,を輸入する,v
118,aboard,（に）乗って,adv
119,fairly,かなり；公正に,adv
120,instantly,すぐに，即座に,adv
121,shortly,まもなく；少し(前；後),adv
122,undoubtedly,確かに；明らかに,adv
123,accidentally,偶然に；うっかり,adv
124,spontaneously,自発的に，自然に,adv
125,mostly,主に，たいていは,adv
126,briefly,少しの間；簡潔に,adv
127,steadily,着実に；絶えず,adv
128,secretly,内密に，ひそかに,adv
129,furthermore,さらに,adv
130,ritual,（宗教的）儀式,n
131,rebel,(政府への)反逆者,n
132,revenue,（総）収入；収益,n
133,destination,（予定の）目的地,n
134,modification,〈～に対する〉修正,n
135,sphere,球体；(活動の)領域,n
136,scope,範囲；視界,n
137,heap,(雑然と積み上げた)山,n
138,trait,特色,n
139,era,時代,n
140,immigration,〈他国からの〉移住,n
141,hemisphere,〈地球や脳の〉半球,n
142,countryside,田舎，田園地方,n
143,habitat,〈動物の〉生息地,n
144,moment,〈特定の〉時；瞬間,n
145,personnel,職員，社員；人事部,n
146,length,〈物や時間の〉長さ,n
147,handful,１つかみの量の…,n
148,array,多様な；集まり；配列,n
149,dawn,夜明け,n
150,male,男性；オス,n
151,rumor,うわさ,n
152,token,しるし，象徴；証拠,n
153,indication,しるし，兆候；指示,n
154,luxury,ぜいたく（品）,n
155,nonsense,ばかげた考え,n
156,migration,移住；移動,n
157,circle,円,n
158,expedition,遠征；探検隊,n
159,dirt,汚れ；泥,n
160,leather,革；革製品,n
161,enjoyment,楽しみ；享受,n
162,discount,割引（率）,n
163,instrument,器具；楽器,n
164,fund,基金，資金,n
165,pastime,気晴らし，娯楽,n
166,mood,気分；雰囲気,n
167,technique,技術，技法,n
168,palace,宮殿,n
169,detective,刑事；探偵,n
170,sight,見ること；景色；視界,n
171,misunderstanding,誤解,n
172,scene,光景；場面；現場,n
173,officer,公務員；職員,n
174,archaeologist,考古学者,n
175,voyage,航海；船旅,n
